BCPYxWYIELD;Genes
[0.3593088994358521, 6.013777960342654];{'R_U222_': 0, 'R_ACC1': 16, 'R_AGX1': 0, 'R_ILV2_2': 0.5, 'R_YBR006WUGA2': 0, 'R_RKI1': 0, 'R_MET22': 0.5, 'R_LSC2': 0.5, 'R_LYS4': 0.0625}
[0.36250034914910445, 6.011988129300048];{'R_MET22': 0.03125, 'R_RKI1': 0.03125, 'R_U214_': 0.125, 'R_U222_': 0, 'R_ACC1': 16, 'R_ILV2_2': 0.0625, 'R_YBR006WUGA2': 0, 'R_AGX1': 0.125, 'R_LSC2': 0.5, 'R_LYS4': 0.5}
[0.3291004397096665, 12.39242618067545];{'R_RKI1': 0.5, 'R_LYS4': 0.25, 'R_AGX1': 0.25, 'R_U222_': 0, 'R_U109_': 0.5, 'R_U214_': 0.03125, 'R_U216_': 0, 'R_ACC1': 32, 'R_CO2xtO': 0.5, 'R_ADE13_2': 4}
[0.2812157712456924, 12.672189018970958];{'R_BPH1': 0, 'R_TPS3': 2, 'R_U222_': 0, 'R_YGR012W': 2, 'R_U98_': 8, 'R_U216_': 0, 'R_IPP1': 0.25, 'R_U214_': 0.25, 'R_ACC1': 32}
[0.37397926663388864, 6.0042741584975445];{'R_RKI1': 0.5, 'R_U214_': 0.125, 'R_AGX1': 0.25, 'R_U222_': 0, 'R_ACC1': 16, 'R_YBR006WUGA2': 0, 'R_MET22': 0.5, 'R_LSC2': 0.5, 'R_LYS4': 0.5}
[0.2831766367043997, 12.665429527103178];{'R_BPH1': 0, 'R_U214_': 0.25, 'R_TPS3': 2, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.28174716748801587, 12.668638855674542];{'R_BPH1': 0, 'R_U222_': 0, 'R_U214_': 0.5, 'R_TRP5': 2, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32, 'R_U98_': 32}
[0.36558581139467405, 6.009804656940939];{'R_U214_': 0.125, 'R_U222_': 0, 'R_ILV2_2': 0.0625, 'R_AGX1': 0, 'R_ACC1': 16, 'R_YBR006WUGA2': 0, 'R_RKI1': 0, 'R_LSC2': 0.5, 'R_LYS4': 0.5}
[0.3776655006567781, 5.998260430656312];{'R_RKI1': 0.25, 'R_U222_': 0, 'R_ACC1': 16, 'R_YBR006WUGA2': 0, 'R_U214_': 0.0625, 'R_LSC2': 0.5, 'R_AGX1': 0.5}
[0.3755241474861418, 6.001026213104186];{'R_U222_': 0, 'R_ACC1': 16, 'R_AGX1': 0, 'R_YBR006WUGA2': 0, 'R_RKI1': 0, 'R_U214_': 0.03125, 'R_LSC2': 0.5, 'R_U18_': 8}
[0.27879479777215155, 12.678868899648172];{'R_BPH1': 0, 'R_TPS3': 2, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_YGR012W': 2, 'R_U98_': 8, 'R_IPP1': 0.25, 'R_U214_': 0.25, 'R_ACC1': 32}
[0.2796068772108677, 12.67550059718928];{'R_BPH1': 0, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_TRP5': 2, 'R_U214_': 0.03125, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32, 'R_U98_': 32}
[0.3328146092463871, 12.383279312076755];{'R_RKI1': 0.5, 'R_TPS3': 2, 'R_U222_': 0, 'R_TRP5': 2, 'R_U109_': 0.5, 'R_U214_': 0.03125, 'R_U216_': 0, 'R_ACC1': 32, 'R_CO2xtO': 0.5}
[0.35439446096820215, 12.308065659743374];{'R_SER2': 0.25, 'R_LYS4': 0.25, 'R_U222_': 0, 'R_ACC1': 32, 'R_U214_': 0.03125, 'R_CO2xtO': 0.5}
[0.357330637409298, 12.301807678055795];{'R_U222_': 0, 'R_U214_': 0.0625, 'R_ACC1': 32, 'R_CO2xtO': 0.5}
[0.35595250676753765, 12.304853783898814];{'R_BPH1': 0, 'R_TYR1': 0.25, 'R_TPS3': 2, 'R_U222_': 0, 'R_U214_': 0.5, 'R_ACC1': 32, 'R_CO2xtO': 0.5}
[0.38192320483109077, 5.984064278907295];{'R_DFR1_2': 4, 'R_U214_': 0.125, 'R_U222_': 0, 'R_ACC1': 16, 'R_YBR006WUGA2': 0, 'R_LSC2': 0.5}
[0.2611104947050819, 12.760656353903205];{'R_BPH1': 0, 'R_YGR012W': 4, 'R_U222_': 0, 'R_U214_': 0.03125, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.26026014036148043, 12.763816157555206];{'R_BPH1': 0, 'R_U222_': 0, 'R_U214_': 0.5, 'R_LYS4': 0.125, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_ACC1': 32}
[0.37176371393537333, 6.007070713110135];{'R_RKI1': 0.5, 'R_U214_': 0.125, 'R_AGX1': 0.25, 'R_U222_': 0, 'R_ACC1': 16, 'R_YBR006WUGA2': 0, 'R_ILV2_2': 0.5, 'R_MET22': 0.5, 'R_LSC2': 0.5, 'R_LYS4': 0.5}
